Time,Time Delta,floor2_temp,floor3_temp,floor4_temp,floor5_temp,floor6_temp,floor7_temp,floor8_temp
48:08.1,103811.3353,73.51583333333332,71.69153846153846,59.2890909090909,72.38727272727272,72.454,73.06555555555556,71.485
2017-02-15 15:15:32.821190,0,73.1375,71.77923076923076,59.63090909090909,73.06727272727272,71.812,73.03555555555555,70.66833333333334
2017-02-15 15:17:37.893343,125.072153,73.135,71.80692307692308,59.64181818181819,73.06090909090909,71.807,73.04666666666667,70.56666666666668
2017-02-15 15:19:46.946725,254.125535,73.11000000000001,72.02230769230768,59.62818181818182,73.09636363636363,71.804,73.00555555555553,70.615
2017-02-15 15:21:56.834154,384.012964,73.15083333333332,72.09538461538462,59.6409090909091,73.06909090909092,71.77600000000001,72.96444444444444,70.66
2017-02-15 15:24:06.819589,513.998399,73.16333333333333,72.13000000000001,59.627272727272725,73.07545454545453,71.773,72.97222222222221,70.71
2017-02-15 15:26:22.357341,649.536151,73.17416666666666,72.16999999999999,59.627272727272725,73.07181818181819,71.796,72.99,70.66333333333333
2017-02-15 15:28:42.386350,789.56516,73.21833333333332,72.19230769230768,59.61272727272728,73.04363636363637,71.79400000000001,72.98777777777778,70.58833333333332
2017-02-15 15:30:50.324668,917.503478,73.21666666666665,72.21076923076923,59.61909090909091,73.02363636363636,71.801,72.95666666666666,70.545
2017-02-15 15:32:53.865734,1041.044544,73.185,72.23076923076923,59.621818181818185,73.02272727272727,71.803,72.92,70.56833333333333
2017-02-15 15:35:18.275994,1185.454804,73.18166666666667,72.24230769230769,59.625454545454545,73.03454545454545,71.82000000000001,72.9311111111111,70.62166666666667
2017-02-15 15:37:29.570503,1316.749313,73.19833333333334,72.25384615384614,59.60909090909092,73.04454545454544,71.801,72.94444444444444,70.64666666666666
2017-02-15 15:39:34.906672,1442.085482,73.21833333333333,72.23615384615385,59.58818181818182,73.03090909090908,71.78999999999999,72.96666666666665,70.65333333333334
2017-02-15 15:41:44.969111,1572.147921,73.21916666666667,72.21076923076922,59.606363636363646,73.04727272727273,71.797,72.96111111111111,70.68499999999999
2017-02-15 15:44:33.985779,1741.164589,73.2075,72.26538461538459,59.57363636363636,73.09181818181818,71.80600000000001,72.93666666666667,70.65666666666668
2017-02-15 15:48:18.844640,1966.02345,73.24916666666667,72.27999999999999,59.58727272727273,73.12545454545453,71.798,72.91333333333334,70.52
2017-02-15 15:50:22.917736,2090.096546,73.23666666666668,72.22076923076922,59.591818181818184,73.03363636363636,71.784,72.95444444444443,70.58666666666666
2017-02-15 15:52:32.498148,2219.676958,73.22916666666667,72.22692307692307,59.604545454545466,73.09909090909092,71.77700000000002,72.9588888888889,70.59166666666667
2017-02-15 15:54:34.825145,2342.003955,73.19333333333333,72.23769230769231,59.601818181818196,73.09545454545454,71.75500000000001,72.96222222222221,70.65833333333332
2017-02-15 15:56:38.889241,2466.068051,73.13166666666667,72.25461538461538,59.60363636363636,73.11999999999999,71.77000000000001,72.96555555555554,70.665
2017-02-15 15:58:42.933336,2590.112146,73.08166666666666,72.24230769230769,59.61545454545455,73.06818181818181,71.79400000000001,72.97999999999999,70.60499999999999
58:42.9,2590.112146,73.08166666666666,72.24230769230769,59.61545454545455,73.06818181818181,71.79400000000001,72.97999999999999,70.60499999999999
00:46.9,2714.066235,73.02916666666668,72.22384615384615,59.60181818181818,73.05272727272727,71.78600000000002,73.03,70.60499999999999
03:19.1,2866.310943,72.99999999999999,72.21923076923078,59.62818181818182,73.01545454545453,71.76700000000001,72.98777777777778,70.53333333333332
05:24.4,2991.61011,72.96833333333332,72.26,59.595454545454544,73.03090909090909,71.768,72.97222222222221,70.50666666666666
07:32.1,3119.320509,72.92833333333333,72.28846153846153,59.56818181818182,73.04545454545455,71.785,72.90555555555554,70.56833333333333
09:46.9,3254.115219,72.93499999999999,72.29846153846154,59.61181818181819,73.04545454545455,71.76700000000001,72.91333333333334,70.63833333333334
11:58.9,3386.096768,72.93166666666667,72.23769230769231,59.63181818181818,73.02909090909091,71.76500000000001,72.93555555555557,70.67833333333333
14:08.8,3516.025199,72.91499999999999,72.20076923076923,59.66454545454546,73.05,71.76000000000002,72.93,70.695
16:24.4,3651.617955,72.88166666666666,72.23153846153846,59.724545454545456,73.01727272727273,71.74600000000001,72.93,70.655
18:27.9,3775.102018,72.82666666666665,72.26,59.69909090909091,73.00909090909092,71.751,72.93111111111112,70.62166666666666
20:40.5,3907.697602,72.83833333333332,72.23538461538462,59.64818181818182,72.98272727272727,71.74600000000001,72.92555555555556,70.59666666666665
22:47.4,4034.59186,72.80666666666666,72.2223076923077,59.61000000000001,73.01181818181819,71.77000000000001,72.92666666666668,70.585
24:53.0,4160.226045,72.77833333333332,72.21615384615384,59.59636363636364,72.97818181818182,71.799,72.89888888888889,70.53333333333333
26:58.0,4285.165192,72.75166666666667,72.21307692307693,59.602727272727286,73.00636363636364,71.784,72.92333333333333,70.53333333333333
29:10.6,4417.788777,72.74499999999999,72.20307692307692,59.58454545454546,73.09545454545456,71.76100000000001,72.92,70.595
31:17.6,4544.802042,72.73833333333333,72.2323076923077,59.597272727272724,72.99636363636365,71.732,72.9,70.61333333333333
33:36.4,4683.608981,72.74083333333333,72.24846153846153,59.60454545454545,73.0018181818182,71.76,72.91333333333334,70.66166666666666
35:40.0,4807.130046,72.72416666666665,72.25999999999999,59.63727272727272,73.02636363636364,71.745,72.93,70.69833333333334
37:58.5,4945.66197,72.7075,72.26461538461537,59.68363636363636,73.05636363636364,71.751,72.93111111111112,70.64333333333333
