floor2_avg_temp,floor3_avg_temp,floor4_avg_temp,floor5_avg_temp,floor6_avg_temp,floor7_avg_temp,floor8_avg_temp
72.71666666666665,71.38461538461539,58.11090909090908,72.07636363636364,72.69,72.82555555555555,72.82555555555555
73.1375,71.77923076923076,59.63090909090909,73.06727272727272,71.812,73.03555555555555,73.03555555555555
73.135,71.80692307692308,59.64181818181819,73.06090909090909,71.807,73.04666666666667,73.04666666666667
73.11000000000001,72.02230769230768,59.62818181818182,73.09636363636363,71.804,73.00555555555553,73.00555555555553
73.15083333333332,72.09538461538462,59.6409090909091,73.06909090909092,71.77600000000001,72.96444444444444,72.96444444444444
73.16333333333333,72.13000000000001,59.627272727272725,73.07545454545453,71.773,72.97222222222221,72.97222222222221
73.17416666666666,72.16999999999999,59.627272727272725,73.07181818181819,71.796,72.99,72.99
73.21833333333332,72.19230769230768,59.61272727272728,73.04363636363637,71.79400000000001,72.98777777777778,72.98777777777778
73.21666666666665,72.21076923076923,59.61909090909091,73.02363636363636,71.801,72.95666666666666,72.95666666666666
73.185,72.23076923076923,59.621818181818185,73.02272727272727,71.803,72.92,72.92
73.18166666666667,72.24230769230769,59.625454545454545,73.03454545454545,71.82000000000001,72.9311111111111,72.9311111111111
73.19833333333334,72.25384615384614,59.60909090909092,73.04454545454544,71.801,72.94444444444444,72.94444444444444
73.21833333333333,72.23615384615385,59.58818181818182,73.03090909090908,71.78999999999999,72.96666666666665,72.96666666666665
73.21916666666667,72.21076923076922,59.606363636363646,73.04727272727273,71.797,72.96111111111111,72.96111111111111
73.2075,72.26538461538459,59.57363636363636,73.09181818181818,71.80600000000001,72.93666666666667,72.93666666666667
73.24916666666667,72.27999999999999,59.58727272727273,73.12545454545453,71.798,72.91333333333334,72.91333333333334
73.23666666666668,72.22076923076922,59.591818181818184,73.03363636363636,71.784,72.95444444444443,72.95444444444443
73.22916666666667,72.22692307692307,59.604545454545466,73.09909090909092,71.77700000000002,72.9588888888889,72.9588888888889
73.19333333333333,72.23769230769231,59.601818181818196,73.09545454545454,71.75500000000001,72.96222222222221,72.96222222222221
73.13166666666667,72.25461538461538,59.60363636363636,73.11999999999999,71.77000000000001,72.96555555555554,72.96555555555554
73.08166666666666,72.24230769230769,59.61545454545455,73.06818181818181,71.79400000000001,72.97999999999999,72.97999999999999
73.08166666666666,72.24230769230769,59.61545454545455,73.06818181818181,71.79400000000001,72.97999999999999,72.97999999999999
73.02916666666668,72.22384615384615,59.60181818181818,73.05272727272727,71.78600000000002,73.03,73.03
72.99999999999999,72.21923076923078,59.62818181818182,73.01545454545453,71.76700000000001,72.98777777777778,72.98777777777778
72.96833333333332,72.26,59.595454545454544,73.03090909090909,71.768,72.97222222222221,72.97222222222221
72.92833333333333,72.28846153846153,59.56818181818182,73.04545454545455,71.785,72.90555555555554,72.90555555555554
72.93499999999999,72.29846153846154,59.61181818181819,73.04545454545455,71.76700000000001,72.91333333333334,72.91333333333334
72.93166666666667,72.23769230769231,59.63181818181818,73.02909090909091,71.76500000000001,72.93555555555557,72.93555555555557
72.91499999999999,72.20076923076923,59.66454545454546,73.05,71.76000000000002,72.93,72.93
72.88166666666666,72.23153846153846,59.724545454545456,73.01727272727273,71.74600000000001,72.93,72.93
72.82666666666665,72.26,59.69909090909091,73.00909090909092,71.751,72.93111111111112,72.93111111111112
72.83833333333332,72.23538461538462,59.64818181818182,72.98272727272727,71.74600000000001,72.92555555555556,72.92555555555556
72.80666666666666,72.2223076923077,59.61000000000001,73.01181818181819,71.77000000000001,72.92666666666668,72.92666666666668
72.77833333333332,72.21615384615384,59.59636363636364,72.97818181818182,71.799,72.89888888888889,72.89888888888889
72.75166666666667,72.21307692307693,59.602727272727286,73.00636363636364,71.784,72.92333333333333,72.92333333333333
72.74499999999999,72.20307692307692,59.58454545454546,73.09545454545456,71.76100000000001,72.92,72.92
72.73833333333333,72.2323076923077,59.597272727272724,72.99636363636365,71.732,72.9,72.9
72.74083333333333,72.24846153846153,59.60454545454545,73.0018181818182,71.76,72.91333333333334,72.91333333333334
72.72416666666665,72.25999999999999,59.63727272727272,73.02636363636364,71.745,72.93,72.93
72.7075,72.26461538461537,59.68363636363636,73.05636363636364,71.751,72.93111111111112,72.93111111111112
72.69583333333333,72.11692307692307,59.72454545454545,73.09,71.76400000000001,72.90666666666668,72.90666666666668
72.7075,72.19999999999999,59.74909090909091,73.07636363636365,71.76500000000001,72.88555555555556,72.88555555555556
72.67583333333333,72.14923076923075,59.7,73.07181818181817,71.76500000000001,72.86444444444446,72.86444444444446
72.64083333333332,72.16153846153846,59.626363636363635,73.04,71.762,72.86666666666667,72.86666666666667
72.67999999999999,72.17615384615384,59.59909090909091,73.06,71.77400000000002,72.86333333333333,72.86333333333333
72.67166666666667,72.14692307692307,59.58363636363636,73.07545454545455,71.78100000000002,72.85888888888888,72.85888888888888
72.67166666666667,72.14538461538461,59.59181818181817,73.01545454545455,71.77700000000002,72.85111111111111,72.85111111111111
72.65083333333334,72.15384615384615,59.58272727272727,72.94545454545454,71.776,72.85333333333334,72.85333333333334
72.6125,72.16153846153846,59.71454545454546,72.98272727272729,71.78200000000001,72.83999999999999,72.83999999999999
72.625,72.16846153846153,59.689090909090915,73.02272727272727,71.78100000000002,72.82333333333332,72.82333333333332
72.5975,72.16076923076922,59.556363636363635,73.05818181818182,71.78500000000001,72.80111111111111,72.80111111111111
72.62583333333335,72.16769230769229,59.54363636363637,72.93181818181816,71.772,72.76444444444444,72.76444444444444
