Time,Time Delta,n_flow,s_flow,e_flow,w_flow,c_flow,b_flow
2017-03-01 20:53:24.638669,73.331275,1365.0,2286.0,3962.0,1887.0,2722.0,2841.0
2017-03-01 20:52:11.311394,0.0,1358.0,2283.0,3958.0,1907.0,2718.0,2830.0
2017-03-01 20:52:25.346969,14.035575,1363.0,2301.0,3958.0,1907.0,2719.0,2830.0
2017-03-01 20:53:01.495072,50.183678,1364.0,2286.0,3956.0,1887.0,2722.0,2830.0
